law,law_number,punished,punished_percent,punishment,punishment_order,punishment_text
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,21,0.008875739644970414,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,0,0.0,Конфискация,4,Конфискация
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,1683,0.7113271344040575,Приостановление деятельности,2,Приостановление деятельности
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,662,0.2797971259509721,Штраф,1,Штраф
Статья 16.4. Недекларирование либо недостоверное декларирование физическими лицами наличных денежных средств и (или) денежных инструментов,16.04,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 16.4. Недекларирование либо недостоверное декларирование физическими лицами наличных денежных средств и (или) денежных инструментов,16.04,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 16.4. Недекларирование либо недостоверное декларирование физическими лицами наличных денежных средств и (или) денежных инструментов,16.04,268,0.416796267496112,Конфискация,4,Конфискация
Статья 16.4. Недекларирование либо недостоверное декларирование физическими лицами наличных денежных средств и (или) денежных инструментов,16.04,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 16.4. Недекларирование либо недостоверное декларирование физическими лицами наличных денежных средств и (или) денежных инструментов,16.04,375,0.583203732503888,Штраф,1,Штраф
Статья 16.2. Недекларирование либо недостоверное декларирование товаров,16.02,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 16.2. Недекларирование либо недостоверное декларирование товаров,16.02,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 16.2. Недекларирование либо недостоверное декларирование товаров,16.02,15882,0.8662594087487727,Конфискация,4,Конфискация
Статья 16.2. Недекларирование либо недостоверное декларирование товаров,16.02,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 16.2. Недекларирование либо недостоверное декларирование товаров,16.02,2452,0.13374059125122723,Штраф,1,Штраф
Статья 16.1. Незаконное перемещение через таможенную границу Таможенного союза товаров и (или) транспортных средств международной перевозки,16.01,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 16.1. Незаконное перемещение через таможенную границу Таможенного союза товаров и (или) транспортных средств международной перевозки,16.01,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 16.1. Незаконное перемещение через таможенную границу Таможенного союза товаров и (или) транспортных средств международной перевозки,16.01,1417,0.7573490112239444,Конфискация,4,Конфискация
Статья 16.1. Незаконное перемещение через таможенную границу Таможенного союза товаров и (или) транспортных средств международной перевозки,16.01,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 16.1. Незаконное перемещение через таможенную границу Таможенного союза товаров и (или) транспортных средств международной перевозки,16.01,454,0.2426509887760556,Штраф,1,Штраф
"Статья 6.16. Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров либо хранения, учета, реализации, перевозки, приобретения, использования, ввоза, вывоза или уничтожения растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры, и их частей, содержащих наркотические средства или психотропные вещества либо их прекурсоры",6.16,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 6.16. Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров либо хранения, учета, реализации, перевозки, приобретения, использования, ввоза, вывоза или уничтожения растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры, и их частей, содержащих наркотические средства или психотропные вещества либо их прекурсоры",6.16,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 6.16. Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров либо хранения, учета, реализации, перевозки, приобретения, использования, ввоза, вывоза или уничтожения растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры, и их частей, содержащих наркотические средства или психотропные вещества либо их прекурсоры",6.16,1,0.001579778830963665,Конфискация,4,Конфискация
"Статья 6.16. Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров либо хранения, учета, реализации, перевозки, приобретения, использования, ввоза, вывоза или уничтожения растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры, и их частей, содержащих наркотические средства или психотропные вещества либо их прекурсоры",6.16,51,0.08056872037914692,Приостановление деятельности,2,Приостановление деятельности
"Статья 6.16. Нарушение правил оборота наркотических средств, психотропных веществ и их прекурсоров либо хранения, учета, реализации, перевозки, приобретения, использования, ввоза, вывоза или уничтожения растений, содержащих наркотические средства или психотропные вещества либо их прекурсоры, и их частей, содержащих наркотические средства или психотропные вещества либо их прекурсоры",6.16,581,0.9178515007898894,Штраф,1,Штраф
Статья 15.14. Нецелевое использование бюджетных средств,15.14,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 15.14. Нецелевое использование бюджетных средств,15.14,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 15.14. Нецелевое использование бюджетных средств,15.14,0,0.0,Конфискация,4,Конфискация
Статья 15.14. Нецелевое использование бюджетных средств,15.14,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 15.14. Нецелевое использование бюджетных средств,15.14,1330,1.0,Штраф,1,Штраф
"Статья 15.12. Производство или продажа товаров и продукции, в отношении которых установлены требования по маркировке и (или) нанесению информации, без соответствующей маркировки и (или) информации, а также с нарушением установленного порядка нанесения такой маркировки и (или) информации",15.12,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 15.12. Производство или продажа товаров и продукции, в отношении которых установлены требования по маркировке и (или) нанесению информации, без соответствующей маркировки и (или) информации, а также с нарушением установленного порядка нанесения такой маркировки и (или) информации",15.12,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 15.12. Производство или продажа товаров и продукции, в отношении которых установлены требования по маркировке и (или) нанесению информации, без соответствующей маркировки и (или) информации, а также с нарушением установленного порядка нанесения такой маркировки и (или) информации",15.12,1,0.00014952153110047846,Конфискация,4,Конфискация
"Статья 15.12. Производство или продажа товаров и продукции, в отношении которых установлены требования по маркировке и (или) нанесению информации, без соответствующей маркировки и (или) информации, а также с нарушением установленного порядка нанесения такой маркировки и (или) информации",15.12,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 15.12. Производство или продажа товаров и продукции, в отношении которых установлены требования по маркировке и (или) нанесению информации, без соответствующей маркировки и (или) информации, а также с нарушением установленного порядка нанесения такой маркировки и (или) информации",15.12,6687,0.9998504784688995,Штраф,1,Штраф
Статья 13.21. Нарушение порядка изготовления или распространения продукции средства массовой информации,13.21,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 13.21. Нарушение порядка изготовления или распространения продукции средства массовой информации,13.21,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 13.21. Нарушение порядка изготовления или распространения продукции средства массовой информации,13.21,0,0.0,Конфискация,4,Конфискация
Статья 13.21. Нарушение порядка изготовления или распространения продукции средства массовой информации,13.21,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 13.21. Нарушение порядка изготовления или распространения продукции средства массовой информации,13.21,1327,1.0,Штраф,1,Штраф
"Статья 19.4. Неповиновение законному распоряжению должностного лица органа, осуществляющего государственный надзор (контроль), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа, осуществляющего муниципальный контроль",19.04,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 19.4. Неповиновение законному распоряжению должностного лица органа, осуществляющего государственный надзор (контроль), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа, осуществляющего муниципальный контроль",19.04,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
